SiteId,SiteName,MonitorDate,AQI,SO2SubIndex,COSubIndex,O3SubIndex,PM10SubIndex,NO2SubIndex,O38SubIndex,PM25SubIndex
35,二林,2016-11-30,45,5,4,,44,20,34,45
35,二林,2016-12-01,45,4,4,,42,14,35,45
67,三重,2016-12-01,42,4,21,,42,41,,39
67,三重,2016-11-30,50,5,25,,50,44,,45
27,三義,2016-11-30,64,3,5,,44,24,30,64
27,三義,2016-12-01,52,3,4,,32,14,28,52
5,土城,2016-12-01,36,3,6,,28,22,31,36
5,土城,2016-11-30,42,3,9,,32,34,30,42
11,士林,2016-11-30,49,5,8,,30,29,39,49
11,士林,2016-12-01,34,1,4,,18,22,34,23
16,大同,2016-12-01,43,4,16,,39,43,,39
16,大同,2016-11-30,50,5,18,,50,44,,45
30,大里,2016-11-30,66,3,7,,52,30,31,66
30,大里,2016-12-01,49,3,6,,37,23,31,49
18,大園,2016-12-01,56,4,3,,48,26,35,56
18,大園,2016-11-30,45,5,5,,36,28,38,45
51,大寮,2016-11-30,94,9,6,,66,32,14,94
51,大寮,2016-12-01,96,7,6,,72,36,31,96
58,小港,2016-12-01,112,6,8,,64,38,48,112
58,小港,2016-11-30,92,7,8,,60,44,26,92
12,中山,2016-11-30,56,4,11,,39,41,27,56
12,中山,2016-12-01,34,3,9,,21,34,30,
68,中壢,2016-12-01,49,5,11,,41,32,,49
68,中壢,2016-11-30,54,6,22,,49,39,,54
49,仁武,2016-11-30,89,12,7,,61,34,27,89
49,仁武,2016-12-01,107,7,6,,70,34,45,107
37,斗六,2016-12-01,72,4,4,,45,24,38,72
37,斗六,2016-11-30,66,5,6,,49,30,32,66
66,冬山,2016-11-30,29,1,5,,29,19,20,23
66,冬山,2016-12-01,29,1,5,,20,29,25,16
14,古亭,2016-12-01,52,2,6,,23,29,31,52
14,古亭,2016-11-30,52,5,8,,31,40,31,52
54,左營,2016-11-30,107,6,7,,61,32,33,107
54,左營,2016-12-01,115,4,6,,65,27,53,115
20,平鎮,2016-12-01,39,2,5,,36,26,31,39
20,平鎮,2016-11-30,36,4,6,,33,25,29,36
70,永和,2016-11-30,45,5,11,,31,36,,45
70,永和,2016-12-01,39,3,9,,23,28,,39
45,安南,2016-12-01,76,3,5,,61,19,38,76
45,安南,2016-11-30,59,3,5,,42,26,32,59
40,朴子,2016-11-30,64,4,4,,47,20,37,64
40,朴子,2016-12-01,84,4,4,,68,17,35,84
2,汐止,2016-12-01,59,2,5,,26,23,31,59
2,汐止,2016-11-30,62,7,9,,33,36,22,62
69,竹山,2016-11-30,86,4,7,,51,30,33,86
69,竹山,2016-12-01,82,4,5,,50,21,44,82
23,竹東,2016-12-01,52,1,4,,24,12,33,52
23,竹東,2016-11-30,66,4,6,,37,28,23,66
32,西屯,2016-11-30,66,5,4,,44,27,35,66
32,西屯,2016-12-01,59,3,3,,40,14,33,59
29,沙鹿,2016-12-01,54,3,4,,41,14,32,54
29,沙鹿,2016-11-30,56,4,6,,43,28,33,56
65,宜蘭,2016-11-30,33,3,6,,33,28,28,26
65,宜蘭,2016-12-01,30,2,4,,22,13,30,19
31,忠明,2016-12-01,59,3,5,,30,20,31,59
31,忠明,2016-11-30,69,3,6,,40,28,31,69
15,松山,2016-12-01,39,2,6,,21,31,32,39
15,松山,2016-11-30,49,5,9,,32,40,23,49
6,板橋,2016-11-30,40,5,10,,40,39,29,39
6,板橋,2016-12-01,36,4,7,,31,32,28,36
9,林口,2016-11-30,54,5,4,,47,31,36,54
9,林口,2016-12-01,56,1,4,,46,14,38,56
52,林園,2016-12-01,97,10,6,,54,42,97,86
52,林園,2016-11-30,79,10,6,,42,32,37,79
63,花蓮,2016-11-30,49,3,6,,32,29,31,49
63,花蓮,2016-12-01,37,2,4,,21,13,37,29
77,金門,2016-11-30,52,6,4,,40,20,33,52
77,金門,2016-12-01,79,8,5,,57,24,31,79
56,前金,2016-11-30,89,5,7,,56,32,31,89
56,前金,2016-12-01,125,4,7,,68,28,50,125
57,前鎮,2016-12-01,92,5,,,70,35,,92
57,前鎮,2016-11-30,72,5,,,57,40,,72
36,南投,2016-11-30,56,3,9,,56,37,29,
36,南投,2016-12-01,51,3,7,,51,25,31,
59,屏東,2016-12-01,94,3,6,,54,20,69,94
59,屏東,2016-11-30,94,4,7,,,27,31,94
61,恆春,2016-11-30,40,1,2,,26,3,40,19
61,恆春,2016-12-01,45,2,2,,16,7,45,16
47,美濃,2016-12-01,99,3,5,,48,14,44,99
47,美濃,2016-11-30,89,3,5,,39,16,30,89
26,苗栗,2016-11-30,62,5,7,,50,26,28,62
26,苗栗,2016-12-01,59,3,5,,43,16,31,59
72,埔里,2016-12-01,49,2,6,,29,19,44,49
72,埔里,2016-11-30,42,2,6,,24,16,22,42
17,桃園,2016-11-30,45,6,6,,31,30,31,45
17,桃園,2016-12-01,32,3,6,,26,24,31,32
78,馬公,2016-11-30,52,3,2,,33,4,31,52
78,馬公,2016-12-01,62,2,3,,36,5,40,62
75,馬祖,2016-11-30,39,3,3,,30,6,31,39
75,馬祖,2016-12-01,84,3,4,,49,6,48,84
1,基隆,2016-12-01,49,2,4,,23,8,39,49
1,基隆,2016-11-30,49,3,9,,25,37,31,49
38,崙背,2016-11-30,62,5,5,,43,20,32,62
38,崙背,2016-12-01,82,4,4,,59,13,33,82
10,淡水,2016-12-01,52,3,4,,31,9,36,52
10,淡水,2016-11-30,52,2,5,,31,24,33,52
83,麥寮,2016-11-30,56,3,,,49,18,,56
83,麥寮,2016-12-01,74,5,,,68,19,,74
44,善化,2016-12-01,79,3,5,,54,16,44,79
44,善化,2016-11-30,64,3,5,,43,22,30,64
71,復興,2016-12-01,109,5,12,,,43,,109
71,復興,2016-11-30,96,6,13,,56,48,,96
22,湖口,2016-11-30,49,4,4,,35,22,40,49
22,湖口,2016-12-01,59,3,3,,38,11,38,59
8,菜寮,2016-11-30,42,4,11,,35,39,31,42
8,菜寮,2016-12-01,32,2,7,,21,25,27,32
64,陽明,2016-12-01,42,2,3,,5,5,42,16
64,陽明,2016-11-30,40,3,2,,13,7,40,29
24,新竹,2016-11-30,45,3,7,,45,27,31,45
24,新竹,2016-12-01,52,3,5,,47,18,31,52
4,新店,2016-12-01,54,3,6,,19,26,31,54
4,新店,2016-11-30,56,3,8,,25,32,31,56
7,新莊,2016-11-30,39,4,9,,31,39,31,36
7,新莊,2016-12-01,32,3,7,,24,29,24,32
39,新港,2016-12-01,59,4,4,,55,12,39,59
39,新港,2016-11-30,54,4,4,,47,19,32,54
43,新營,2016-11-30,56,4,5,,51,24,27,56
43,新營,2016-12-01,72,3,4,,63,18,39,72
53,楠梓,2016-12-01,104,4,5,,79,26,42,104
53,楠梓,2016-11-30,89,5,6,,70,28,27,89
3,萬里,2016-11-30,45,3,4,,45,17,31,42
3,萬里,2016-12-01,67,3,3,,67,7,44,54
13,萬華,2016-12-01,39,2,7,,23,33,31,39
13,萬華,2016-11-30,49,5,9,,31,39,27,49
42,嘉義,2016-11-30,74,5,8,,52,39,27,74
42,嘉義,2016-12-01,84,7,6,,58,26,39,84
33,彰化,2016-12-01,56,2,5,,38,18,29,56
33,彰化,2016-11-30,66,5,8,,48,28,30,66
41,臺西,2016-11-30,72,4,,,34,21,,72
41,臺西,2016-12-01,79,4,,,43,16,,79
62,臺東,2016-12-01,31,1,5,,20,12,31,16
62,臺東,2016-11-30,31,1,7,,31,16,23,29
46,臺南,2016-11-30,59,3,7,,40,31,31,59
46,臺南,2016-12-01,84,4,6,,56,21,41,84
50,鳳山,2016-12-01,104,7,8,,75,33,,104
50,鳳山,2016-11-30,84,7,8,,71,33,,84
60,潮州,2016-11-30,96,4,5,,63,21,44,96
60,潮州,2016-12-01,104,4,6,,65,22,97,104
34,線西,2016-12-01,74,4,,,46,18,,74
34,線西,2016-11-30,76,5,,,48,20,,76
48,橋頭,2016-11-30,79,5,6,,58,30,28,79
48,橋頭,2016-12-01,86,4,5,,68,28,42,86
25,頭份,2016-12-01,59,2,,,40,15,,59
25,頭份,2016-11-30,56,3,,,44,21,,56
21,龍潭,2016-11-30,52,4,7,,40,33,24,52
21,龍潭,2016-12-01,49,4,5,,36,17,31,49
28,豐原,2016-12-01,56,1,4,,24,16,30,56
28,豐原,2016-11-30,69,4,6,,37,25,29,69
80,關山,2016-11-30,29,2,,,28,7,25,29
80,關山,2016-12-01,33,2,,,15,8,33,16
19,觀音,2016-11-30,51,5,4,,51,25,41,49
19,觀音,2016-12-01,59,5,4,,48,14,36,59
